Regulation,Year,Agency,Cost
"Airworthiness Directives; Bell Textron Canada Limited Helicopters","2022","Transportation","564.0k"
"Airworthiness Directives; General Electric ","2009","Transportation","4.5m"
"Airworthiness Directives; Saab Model SAAB SF340A","2005","Transportation","592.0k"
"Airworthiness Directives; The Boeing Company Model 737","2010","Transportation","9.3m"
"Airworthiness Directives; Airbus (Collectively Called A300-600)","2008","Transportation","130.0k"
"Airworthiness Directives; Burl A. Rogers","2012","Transportation","1.0m"
"Airworthiness Directives; Allied Ag Cat Models G-164","2011","Transportation","918.0k"
"Airworthiness Directives; Airbus Defense and Space S.A. (Formerly Known as Construcciones Aeronauticas, S.A.) Airplanes","2020","Transportation","768.0k"
"Airworthiness Directives; Rolls-Royce plc Turbofan Engines","2015","Transportation","1.5m"
"Airworthiness Directives; The Boeing Company Airplanes","2016","Transportation","2.7m"
"Airworthiness Directives; The Boeing Company Airplanes","2014","Transportation","283.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","51.3m"
"Airworthiness Directives; CFM International, S.A. Turbofan Engines","2021","Transportation","1.4m"
"Airworthiness Directives; Thrush Aircraft, Inc. Model S2R Series Airplanes","2007","Transportation","4.2m"
"Airworthiness Directives; Gulfstream Model GV and GV-SP Series Airplanes","2006","Transportation","4.7m"
"Airworthiness Directives; General Electric ","2009","Transportation","108.8k"
"Updates to the Origin-Destination Survey of Airline Passengers","2023","Transportation","-10.4m"
"Airworthiness Directives; EMBRAER Model ERJ 170 Airplanes","2010","Transportation","433.0k"
"Airworthiness Directives; Bell Helicopter (BHTC) Model 206A","2011","Transportation","635.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","316.0k"
"Airworthiness Directives; Saab AB, Saab Aerosystems Airplanes","2015","Transportation","112.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2016","Transportation","100.0k"
"Airworthiness Directives; the Boeing Company Airplanes","2014","Transportation","1.8m"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","152.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2021","Transportation","104.0k"
"Airworthiness Directives; McDonnell Douglas Model DC-10-10, DC-10-10F, DC-10-15","2007","Transportation","23.1m"
"Airworthiness Directives; Boeing Model 767-200 and -300 Series Airplanes","2006","Transportation","14.3m"
"Airworthiness Directives; Diamond Aircraft","2009","Transportation","103.0k"
"Airworthiness Directives; Airbus Model A320 Series Airplanes","2005","Transportation","122.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2023","Transportation","122.6m"
"Positive Train Control Systems","2010","Transportation","22.5b"
"Airworthiness Directives; Bell Helicopter 407 and 427","2011","Transportation","164.0k"
"Airworthiness Directives; CFM International, S.A., Turbofan Engines","2020","Transportation","270.0k"
"Airworthiness Directives; Sikorsky Aircraft","2015","Transportation","144.0k"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2016","Transportation","170.0k"
"Mixed Phase, and Ice Crystal Icing Conditions","2014","Transportation","61.3m"
"Airworthiness Directives; Cessna Aircraft Company Airplanes","2013","Transportation","564.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2021","Transportation","3.1m"
"Airworthiness Directives; Boeing Model 757-200, -200CB, and -300 Series Airplanes","2007","Transportation","580.0k"
"Airworthiness Directives; Boeing Model 767 Airplanes","2006","Transportation","960.0k"
"Airworthiness Directives; Boeing Model ","2009","Transportation","1.3m"
"Use of Locomotive Horns at Highway-Rail Grade Crossings","2005","Transportation","40.7m"
"Airworthiness Directives; De Havilland Aircraft of Canada Limited (Type Certificate Previously Held by Bombardier, Inc.) Airplanes","2023","Transportation","423.0k"
"Airworthiness Directives; Rolls-Royce Corporation","2010","Transportation","18.7m"
"Value Engineering","2012","Transportation","0.0"
"Airworthiness Directives; Bell Helicopter Textron Model 205A-1","2011","Transportation","356.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","123.0k"
"Airworthiness Directives; Sikorsky Aircraft","2015","Transportation","632.0k"
"Metropolitan Planning Organization Coordination","2016","Transportation","86.3m"
"Airworthiness Directives; The Boeing Company Airplanes","2014","Transportation","969.0k"
"Airworthiness Directives; Bell Helicopter Textron, Inc. (Bell) Model Helicopters","2013","Transportation","228.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2021","Transportation","1.1m"
"Airworthiness Directives; General Electric Company Engines","2024","Transportation","2.6m"
"Airworthiness Directives; Boeing Model 737-100, -200, -200C, -300, -400, and -500","2007","Transportation","1.5m"
"Airworthiness Directives; Empresa Brasileira de Aeronautica S.A. (EMBRAER)","2006","Transportation","530.0k"
"Yaw Maneuver Conditions-Rudder Reversals","2022","Transportation","1.1m"
"Airworthiness Directives; Bell Helicopter Textron","2009","Transportation","598.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2023","Transportation","7.7m"
"Airworthiness Directives; GARMIN International GSM 85 Servo Gearbox Units","2008","Transportation","504.0k"
"Airworthiness Directives; Bell Helicopter Textron, Inc. 204B, 205A","2011","Transportation","1.4m"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","934.0k"
"Airworthiness Directives; SOCATA Airplanes","2015","Transportation","109.0k"
"Safety of Underground Natural Gas Storage Facilities","2016","Transportation","193.6m"
"Airworthiness Directives; the Boeing Company Airplanes","2014","Transportation","969.0k"
"Airworthiness Directives; Robinson Helicopter Company (Robinson)","2013","Transportation","551.0k"
"Airworthiness Directives; Airbus Helicopters","2021","Transportation","485.0k"
"Airworthiness Directives; Boeing Model 747-200C and -200F Series Airplanes","2007","Transportation","410.0k"
"Airworthiness Directives; Honeywell International Inc.Turboshaft Engines","2006","Transportation","10.7m"
"Increase the Duration of Aircraft Registration","2022","Transportation","-6.1m"
"Airworthiness Directives; General Electric ","2009","Transportation","927.0k"
"Airworthiness Directives; General Electric Company Turbofan Engines","2023","Transportation","212.0k"
"Airworthiness Directives; Eclipse Aviation Corporation Model EA500 Airplanes","2008","Transportation","601.0k"
"Airworthiness Directives; Bell Helicopter Textron, Inc. 205A","2011","Transportation","277.0k"
"Airworthiness Directives; Honda Aircraft Company LLC","2020","Transportation","94.0k"
"Airworthiness Directives; Technify Motors GmbH","2015","Transportation","350.0k"
"Airworthiness Directives; Airbus Helicopters","2016","Transportation","175.0k"
"Training, Qualification, and Oversight for Safety-Related Railroad Employees","2014","Transportation","389.9m"
"Airworthiness Directives; General Electric Company Turbofan Engines","2013","Transportation","3.3m"
"Airworthiness Directives; Safran Helicopter Engines, S.A. (Type Certificate Previously Held by Turbomeca S.A.) Turboshaft Engines","2021","Transportation","208.0k"
"Emergency Escape Breathing Apparatus Standards","2024","Transportation","66.1m"
"Airworthiness Directives; MHI RJ Aviation ULC (Type Certificate Previously Held by Bombardier, Inc.) Airplanes","2024","Transportation","341.0k"
"Experimental Permits for Reusable Suborbital Rockets","2007","Transportation","-11.6m"
"Airworthiness Directives; Eurocopter France Model Helicopters","2006","Transportation","180.0k"
"Medical Certification Standards for Commercial Balloon Operations","2022","Transportation","6.9m"
"Airworthiness Directives; Honeywell International","2009","Transportation","3.1m"
"Airworthiness Directives; Textron Aviation Inc. (Type Certificate Previously Held by Cessna Aircraft Company) Airplanes","2023","Transportation","10.8m"
"Airworthiness Directives; The Boeing Company Model 747-100B SUD","2010","Transportation","4.0m"
"Airworthiness Directives; Bombardier Model CL-600-2B19 Airplanes","2008","Transportation","706.0k"
"Airworthiness Directives; Boeing Model 747 Airplanes","2008","Transportation","277.8k"
"Airworthiness Directives; Bell Helicopter Textron, Inc. Model 212","2011","Transportation","456.0k"
"Airworthiness Directives; Yaborã Indústria Aeronáutica S.A. (Type Certificate Previously Held by Embraer S.A.) Airplanes","2020","Transportation","413.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2015","Transportation","1.3m"
"Airworthiness Directives; Turbomeca S.A. Turboshaft Engines","2016","Transportation","1.0m"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","2.8m"
"Airworthiness Directives; Airbus Helicopters","2021","Transportation","123.0k"
"Airworthiness Directives; ATR-GIE Avions de Transport Régional Airplanes","2024","Transportation","111.0k"
"National Air Tour Safety Standards","2007","Transportation","29.0m"
"Airworthiness Directives; Engine Components Inc.","2006","Transportation","9.2m"
"Airworthiness Directives; Bell Helicopter","2009","Transportation","1.8m"
"Airworthiness Directives; McDonnell Douglas Model DC-9-81","2005","Transportation","221.0k"
"Airworthiness Directives; Sicma Aero Seat 90xx and 92xx Series Passenger Seats","2010","Transportation","960.0k"
"Airworthiness Directives; Rolls-Royce","2010","Transportation","188.0k"
"Airworthiness Directives; Reciprocating Engine Cylinder Assemblies","2008","Transportation","8.0m"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","1.6m"
"Airworthiness Directives; B-N Group Ltd. Model BN-2, BN-2A","2011","Transportation","1.4m"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","3.9m"
"Airworthiness Directives; The Boeing Company Airplanes","2015","Transportation","29.2m"
"Revision of Airworthiness Standards for Normal, Utility, Acrobatic, and Commuter ","2016","Transportation","3.9m"
"Airworthiness Directives; The Boeing Company Airplanes","2014","Transportation","1.7m"
"Airworthiness Directives; Eurocopter Deutschland GmbH Helicopters","2013","Transportation","419.0k"
"Airworthiness Directives; Bell Textron Canada Limited Helicopters","2021","Transportation","807.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2024","Transportation","974.0k"
"Inspection Authorization 2-Year Renewal","2007","Transportation","-800.0k"
"Airworthiness Directives Boeing 747 Model Series Airplanes","2006","Transportation","250.0k"
"Airworthiness Directives; PILATUS AIRCRAFT","2009","Transportation","151.0k"
"Rail Fixed Guideway Systems; State Safety Oversight","2005","Transportation","6.8m"
"Airworthiness Directives; Pratt & Whitney Canada Corp. Turboprop Engines","2023","Transportation","3.6m"
"Airworthiness Directives; Thrush Aircraft, Inc. ","2010","Transportation","805.0k"
"Airworthiness Directives; Boeing Model 727 Airplanes","2008","Transportation","4.0m"
"Airworthiness Directives; Airbus Airplanes","2012","Transportation","1.7m"
"Airworthiness Directives; Boeing 777-200, Pratt Whitney Engines","2011","Transportation","6.7m"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","924.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2015","Transportation","1.2m"
"Airworthiness Directives; The Boeing Company Airplanes","2014","Transportation","2.0m"
"Airworthiness Directives; Eurocopter France Helicopters","2013","Transportation","5.3m"
"Airworthiness Directives; Airbus Helicopters Deutschland GmbH Helicopters","2021","Transportation","116.0k"
"Airworthiness Directives; Boeing Model 777 Airplanes","2007","Transportation","10.4m"
"Airworthiness Directives; Boeing Model 737 Model Airplanes","2006","Transportation","2.7m"
"Airworthiness Directives; Pratt & Whitney ","2009","Transportation","904.4k"
"Airworthiness Directives; Airbus Model A330-200…","2010","Transportation","70.0k"
"Airworthiness Directives; Airbus Model A319 and A320 Series Airplanes","2008","Transportation","3.6m"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","130.0k"
"Airworthiness Directives; Boeing Company 737-300, -400","2011","Transportation","822.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2020","Transportation","3.4m"
"Airworthiness Directives; The Boeing Company Airplanes","2015","Transportation","183.0k"
"Airworthiness Directives; the Boeing Company Airplanes","2014","Transportation","2.1m"
"Airworthiness Directives; Eurocopter France Helicopters","2013","Transportation","249.0k"
"Airworthiness Directives; International Aero Engines, LLC Turbofan Engines","2021","Transportation","538.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2024","Transportation","2.0m"
"Statewide Transportation Planning; Metropolitan Transportation Planning","2007","Transportation","0.0"
"Airworthiness Directives; Boeing Model Series Airplanes","2006","Transportation","330.0k"
